model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
RF Balanced max_depth=5,0.31647003932546824,0.5200842414016899,0.33390266383892503,0.5200842414016899,0.23894287237008965,0.40654341348817347
RF Balanced max_depth=10,0.4874358461641005,0.5433812555388793,0.34764668192937737,0.5433812555388793,0.3121474972468087,0.5785252966879927
RF Balanced max_depth=15,0.6356062120909152,0.5107659726637511,0.3605222938848367,0.5107659726637511,0.3710300986892035,0.6886306926351131
RF Balanced max_depth=20,0.729254149170166,0.4520426809803703,0.3840642039181265,0.4520426809803703,0.40547521713420226,0.7483348910161689
RF Balanced max_depth=None,0.7809104845697528,0.38100943535134124,0.4186014519478192,0.38100943535134124,0.3912590036685204,0.775081152771588
