,precision,recall,f1-score,support
1,0.37748344370860926,0.4351145038167939,0.40425531914893614,131.0
2,0.8920506700936295,0.8132217573221757,0.8508142181754509,11950.0
3,0.4320852691992348,0.626883425852498,0.5115677074906972,2522.0
4,0.16554054054054054,0.12342569269521411,0.1414141414141414,397.0
accuracy,0.7603333333333333,0.7603333333333333,0.7603333333333333,0.7603333333333333
macro avg,0.4667899808855035,0.49966134492167047,0.4770128465573064,15000.0
weighted avg,0.7909929654839843,0.7603333333333333,0.7711001684292067,15000.0
