model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
RF UnderSampling cap=5000,0.6946610677864428,0.4022632171297167,0.43692421920037416,0.4022632171297167,0.38035527973783906,0.718082306334317
RF UnderSampling cap=3000,0.6274745050989802,0.45454004292702566,0.3710736564905975,0.45454004292702566,0.37503697608720893,0.6744025811297202
RF ManualWeight 3,0.7975738185696194,0.3529513026120246,0.6023492278679559,0.3529513026120246,0.3586478174165188,0.7822233554028928
RF ManualWeight 2,0.8101712990735186,0.32837012128682547,0.643299738431868,0.32837012128682547,0.34415255604063566,0.7793169236974624
RF UnderSampling cap=10000,0.7079250816503366,0.3733146142410768,0.4253447353115478,0.3733146142410768,0.33765857789913056,0.7238909053835393
RF ManualWeight 1,0.8085716190095315,0.32437513252957006,0.7186598674065158,0.32437513252957006,0.33688076336834394,0.7774433224182624
