feature,importance
Year,0.10231897337341803
Start_Lat,0.06857253350441658
Start_Lng,0.06853412921919003
Month,0.060278988680587356
Wind_Chill(F),0.0593720837663028
Temperature(F),0.05468452895531215
Pressure(in),0.05332620641923012
Hour,0.05177002405848419
Humidity(%),0.04490376245601246
Wind_Speed(mph),0.032588039034941944
DayOfWeek,0.030809289896690507
Traffic_Signal,0.02924367588280506
Precipitation_NA,0.027348837400205578
County_Other,0.015150728906732344
Crossing,0.013357754841965186
City_Other,0.012725513634851275
Visibility(mi),0.0111183807981239
Weather_Group_Cloudy,0.008700241786096786
State_CA,0.008694451948972858
Weather_Group_Clear,0.008634674575405607
Timezone_US/Pacific,0.008054746246650719
Timezone_US/Eastern,0.008002519022638058
State_SC,0.006870881664644413
Wind_Direction_CALM,0.006071937975481549
Timezone_US/Central,0.00518482906209916
Astronomical_Twilight_Night,0.004965728996342993
Precipitation(in),0.004802533370829628
Junction,0.0045340131610211165
State_GA,0.004433417008483913
Nautical_Twilight_Night,0.00437406724521357
Sunrise_Sunset_Night,0.004164576262443347
Nautical_Twilight_Day,0.004096201102163777
Astronomical_Twilight_Day,0.004091648983019172
Civil_Twilight_Day,0.004060597555377453
State_FL,0.003944059258578872
Sunrise_Sunset_Day,0.003855200887739138
Civil_Twilight_Night,0.0037980887618452807
Timezone_US/Mountain,0.0037580003235452523
County_Los Angeles,0.003469746512467061
State_NC,0.003308401418121554
State_VA,0.003286108628760482
State_AZ,0.0032563128726924313
State_NY,0.0031980248553093744
Stop,0.003189732637685244
Wind_Direction_W,0.0031164031660455118
Wind_Direction_S,0.0029882679479804066
State_TX,0.002960280386995791
Weather_Group_Rain,0.002957344100254692
Wind_Direction_NW,0.002771003066439406
State_PA,0.002594159793788658
Wind_Direction_SW,0.0025040145423226223
Wind_Direction_WNW,0.002452559074436991
State_MD,0.002414885920530753
Wind_Direction_WSW,0.002381792506185435
Wind_Direction_SSE,0.002351988175961573
Wind_Direction_SSW,0.0022988218415077796
State_IL,0.002252886180007288
Wind_Direction_NNW,0.002174148570639429
State_MN,0.0021554595198098833
Wind_Direction_SE,0.0021099652536465553
Wind_Direction_N,0.0020923609728040735
State_OR,0.0020126313215184065
County_Miami-Dade,0.0019776167666501494
State_MA,0.001977418819145628
Station,0.001940541158322529
Wind_Direction_VAR,0.0018848959987926702
Wind_Direction_Calm,0.0018462950715815677
City_Tucson,0.0017995594286912752
Wind_Direction_E,0.001788398534388509
State_OH,0.001722017191965991
Wind_Direction_ESE,0.0016621941156450876
Wind_Direction_ENE,0.0016501396142509137
Wind_Direction_NE,0.0016143519478757488
County_Mecklenburg,0.001601568957149515
State_NJ,0.001598334001859407
State_MI,0.001532789781351384
State_CO,0.0014756821445425475
State_TN,0.0014162987470048994
City_Charlotte,0.0014139098086063224
City_Miami,0.0013918791685965225
Wind_Direction_NNE,0.0013715696792374183
State_LA,0.001364622834009071
Weather_Group_Unknown,0.0013535950563237252
County_Orange,0.0013405727159692784
County_Montgomery,0.0013334510554086185
Wind_Direction_South,0.001279893990772182
County_Maricopa,0.0012479579424793156
County_Davidson,0.0012086544324074345
City_Atlanta,0.001178422144016471
State_WA,0.0011333699341230085
State_AR,0.0010945501414055744
County_Cook,0.0010547289249208162
County_Alameda,0.0010346701134663148
County_Wake,0.0010050409971744426
County_Harris,0.000982705174130932
City_Richmond,0.0009810067974501517
State_AL,0.0009793411837372647
Give_Way,0.0009530928432600052
State_UT,0.0009361862496034968
Wind_Direction_North,0.0009196637898684801
State_CT,0.0009188899216896601
Wind_Direction_West,0.0009068771174316351
County_Santa Clara,0.0009026334401224974
County_Dallas,0.0008846908467959562
Amenity,0.0008349876210615503
County_Fulton,0.0007986982792532605
City_Houston,0.0007946816679417246
State_MO,0.000785826535523983
Weather_Group_Snow,0.0007692855697131522
City_Nashville,0.0007533142466850558
State_OK,0.0007439000199104917
Weather_Group_Fog,0.0007255167707438848
City_Orlando,0.0007193684988927246
County_Jefferson,0.000686416076973512
State_IN,0.0006718264420843619
County_King,0.0006409795564086974
City_Baton Rouge,0.0006166431086179194
Weather_Group_Other,0.000616334954987491
State_WI,0.0006149049906284263
City_Dallas,0.0006065675112124111
Railway,0.0005926556319854261
County_Hillsborough,0.0005925734663522833
County_Contra Costa,0.000579187692161538
City_Los Angeles,0.0005754963384712541
City_San Jose,0.0005606182546915359
