feature,importance
Year,0.09634179243826478
Start_Lng,0.06884931593034625
Start_Lat,0.06866999143184187
Month,0.05864420468296479
Pressure(in),0.055486014276250516
Wind_Chill(F),0.05509383000300589
Temperature(F),0.054187221715585036
Hour,0.04864870547068031
Humidity(%),0.046366360989746475
Wind_Speed(mph),0.03565838768822856
DayOfWeek,0.031995154078779175
Traffic_Signal,0.026022303019650916
Precipitation_NA,0.024710489092327814
Crossing,0.014193178709108575
County_Other,0.014018755806690764
Visibility(mi),0.012489345685502508
City_Other,0.010902608236727404
State_CA,0.00943653581000733
Weather_Group_Cloudy,0.009149579591548801
Weather_Group_Clear,0.008998365827554523
Timezone_US/Eastern,0.007635622278558395
State_SC,0.006393870334202159
Timezone_US/Pacific,0.006355984280988168
Wind_Direction_CALM,0.0061239330883722225
Timezone_US/Central,0.005470623123401366
Precipitation(in),0.005236287851612577
Junction,0.0049906788557998955
Nautical_Twilight_Night,0.004666029625793088
Nautical_Twilight_Day,0.004457322652911729
Astronomical_Twilight_Night,0.004199299248402029
State_GA,0.004187932681405754
State_NC,0.004074741782301841
Sunrise_Sunset_Night,0.004047687592438222
Civil_Twilight_Night,0.0039954104248218865
Timezone_US/Mountain,0.0039387603979791005
Sunrise_Sunset_Day,0.003920282287778499
State_FL,0.003909062771581072
Astronomical_Twilight_Day,0.003906787298336665
Wind_Direction_W,0.00349993977463232
Civil_Twilight_Day,0.0034834520948947823
State_AZ,0.0034326400192219004
State_VA,0.0034125377653318276
Weather_Group_Rain,0.003373357826652978
Wind_Direction_S,0.0032944879462883064
Wind_Direction_NW,0.0032811464492406577
State_NY,0.003155584875123404
State_TX,0.0030891642713373924
Wind_Direction_SW,0.0030563846384858437
Stop,0.003005609893389122
County_Los Angeles,0.0029676106205594843
Wind_Direction_SSE,0.0029352324267029116
Wind_Direction_WNW,0.0028580641948224086
Wind_Direction_SSW,0.0028415788425555847
State_PA,0.0028099275900006987
Wind_Direction_WSW,0.002757240065857788
Wind_Direction_NNW,0.0026816999305233568
Wind_Direction_SE,0.0025643547538222265
Wind_Direction_N,0.002392255174873137
State_IL,0.0023657743286209843
Wind_Direction_ENE,0.0023616433119029285
Wind_Direction_VAR,0.0023030155825190367
Wind_Direction_Calm,0.0022826359766657247
State_MD,0.0022584784295147176
Wind_Direction_ESE,0.0022448735089395408
Station,0.0022378699455524883
Wind_Direction_NE,0.0021467519222810906
State_MN,0.0021309660858638236
Wind_Direction_E,0.0021110328889836173
State_MA,0.0020816228863540275
State_OR,0.002052457064836969
State_OH,0.00194760695856679
Wind_Direction_NNE,0.001851795394996171
County_Miami-Dade,0.0017104231946014968
City_Tucson,0.0016490937056925234
State_MI,0.0016259208849590935
County_Mecklenburg,0.001569095421803367
State_NJ,0.001549868312631611
State_CO,0.0014932730206301981
State_LA,0.001468137627572181
City_Miami,0.001420512118793035
County_Orange,0.001413176278260727
State_TN,0.001412051791061911
Wind_Direction_South,0.0013980019179864846
City_Charlotte,0.0013684561609754184
County_Montgomery,0.0012836154542512292
City_Atlanta,0.001244216221917358
Wind_Direction_North,0.0012212702218810253
State_WA,0.001211022154364153
Weather_Group_Unknown,0.0012008793977537169
Amenity,0.0011839964319597484
State_AR,0.0011462437212619442
State_CT,0.0011241361153666596
County_Maricopa,0.0011106607336499239
County_Alameda,0.0011036046922728341
County_Wake,0.0011013464160792752
Wind_Direction_West,0.001070227040954577
State_OK,0.0010666795409219549
County_Pima,0.0010215088861281678
Give_Way,0.001000657435636911
County_Harris,0.000993268193843486
County_Cook,0.0009901091070679462
Weather_Group_Snow,0.0009843404041428433
County_Fulton,0.0009641969598129014
Weather_Group_Fog,0.0009638527248995727
State_AL,0.000909397029048286
City_Nashville,0.0009004102351698489
County_Davidson,0.0008881444868125565
State_UT,0.0008623793942173068
State_WI,0.0008563863263673705
County_Dallas,0.0008532866485309804
City_Richmond,0.0008499567035358536
State_MO,0.0007895375051913692
State_IN,0.0007818537494743182
County_Santa Clara,0.0007763931562411652
Weather_Group_Other,0.0007724499656618758
City_Houston,0.0007573091304909198
County_Jefferson,0.0007389580566363051
City_Chicago,0.0006694742444360862
City_Orlando,0.0006119946991486615
County_Broward,0.0006086250351376079
City_Baton Rouge,0.0006065985344208165
Wind_Direction_Variable,0.0005963541407082194
City_Dallas,0.0005942294775292332
City_Los Angeles,0.0005914620231853549
Wind_Direction_East,0.0005909702373345741
County_Travis,0.0005740486540089908
City_Denver,0.0005687184419365872
City_Portland,0.0005609611396579092
County_Hillsborough,0.00055680454366702
City_Jacksonville,0.0005466349899397559
County_Contra Costa,0.0005374895053402303
Railway,0.0005328359825211528
County_King,0.0005222660185572633
County_Sacramento,0.0005101575037461123
City_Raleigh,0.000505150007585987
City_San Jose,0.0005016551063847895
County_East Baton Rouge,0.0004908299967707958
County_San Bernardino,0.0004823300241737425
County_Marion,0.00046020206996495337
State_DE,0.0004460886457285243
City_Phoenix,0.0004418554815280884
County_Lake,0.000426199602926374
City_Austin,0.00042456069278655977
County_San Diego,0.0003855382549816363
County_Riverside,0.00036416505942380605
City_Oklahoma City,0.00036262994163942025
City_Columbia,0.0003435072698821481
County_Greenville,0.00033908856114401534
State_KY,0.00033752996156623407
City_San Antonio,0.0003357059013894277
City_Sacramento,0.00032016488728876466
City_Indianapolis,0.00028559581002081565
City_Tampa,0.0002607669209384187
State_IA,0.0002482827309561263
City_Saint Paul,0.0002480289200253248
State_RI,0.00023006977971704463
State_NM,0.00021621556943926236
State_MT,0.00020560355863289242
County_Hennepin,0.00020251550206246626
State_MS,0.0001976766000329152
City_Minneapolis,0.0001922549620027741
City_San Diego,0.00018877569084448358
City_Seattle,0.00018578615306921452
State_NE,0.00018214816182462982
State_KS,0.00018146072218813757
City_Greenville,0.00015066555851477818
State_DC,0.00011047964695989201
State_NV,0.00010560503913899608
State_WY,9.425597251020871e-05
State_WV,9.068997841336436e-05
No_Exit,8.264046095081248e-05
State_NH,6.494714068268184e-05
State_ID,6.159555865429105e-05
Traffic_Calming,1.2799804756061797e-05
State_ME,9.518060184774457e-06
State_ND,1.657341204248859e-06
Bump,1.5825419113231892e-06
Turning_Loop,0.0
Roundabout,0.0
State_VT,0.0
State_SD,0.0
