model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
RF Balanced min_samples_leaf=1,0.8057721788975538,0.2799886575339374,0.5985347828849064,0.2799886575339374,0.28027174628389634,0.7422355282991719
RF Balanced min_samples_leaf=3,0.7809104845697528,0.38100943535134124,0.4186014519478192,0.38100943535134124,0.3912590036685204,0.775081152771588
RF Balanced min_samples_leaf=5,0.7481170432580151,0.43075282405741216,0.39649001484021446,0.43075282405741216,0.40950994845785754,0.7583534531778987
RF Balanced min_samples_leaf=10,0.6806638672265547,0.49524436918639,0.3720525090276883,0.49524436918639,0.39473168383474416,0.7171524079098185
